time	V(vout)	V(n003)
3.021814545937936e-005	4.622941e+000	5.000000e+000
3.041345795937936e-005	4.478146e+000	5.000000e+000
3.070642670937936e-005	4.309895e+000	5.000000e+000
3.090173920937936e-005	4.229511e+000	5.000000e+000
3.109705170937937e-005	4.173783e+000	5.000000e+000
3.119470795937937e-005	4.154937e+000	5.000000e+000
3.129236420937938e-005	4.141974e+000	5.000000e+000
3.139002045937938e-005	4.134792e+000	5.000000e+000
3.148767670937938e-005	4.133286e+000	5.000000e+000
3.158533295937938e-005	4.137349e+000	5.000000e+000
3.168298920937939e-005	4.146867e+000	5.000000e+000
3.178064545937939e-005	4.161726e+000	5.000000e+000
3.187830170937939e-005	4.181810e+000	5.000000e+000
3.207361420937940e-005	4.237169e+000	5.000000e+000
3.226892670937940e-005	4.311953e+000	5.000000e+000
3.246423920937941e-005	4.405137e+000	5.000000e+000
3.275720795937942e-005	4.577102e+000	5.000000e+000
3.305017670937943e-005	4.784439e+000	5.000000e+000
3.334314545937943e-005	5.023406e+000	5.000000e+000
3.363611420937944e-005	5.290211e+000	5.000000e+000
3.392908295937945e-005	5.581047e+000	5.000000e+000
3.422205170937946e-005	5.892123e+000	5.000000e+000
3.433333003661097e-005	6.015386e+000	5.000000e+000
3.444460836384248e-005	6.140292e+000	5.000000e+000
3.455588669107398e-005	6.266839e+000	5.000000e+000
3.466716501830548e-005	6.395028e+000	5.000000e+000
3.477844334553699e-005	6.524859e+000	5.000000e+000
3.488972167276850e-005	6.656332e+000	5.000000e+000
3.500100000000001e-005	6.789446e+000	5.000000e+000
3.500175448744382e-005	6.790350e+000	1.227563e+000
3.500177903869944e-005	6.790380e+000	1.104807e+000
3.500182814121068e-005	6.790438e+000	8.592939e-001
3.500182967566416e-005	6.790440e+000	8.516217e-001
3.500200000000000e-005	6.790644e+000	1.444800e-011
3.515847772069951e-005	6.965068e+000	7.609806e-012
3.531495544139903e-005	7.118360e+000	2.363012e-012
3.547143316209854e-005	7.250518e+000	-1.292385e-012
3.562791088279805e-005	7.361544e+000	-3.356385e-012
3.578438860349756e-005	7.451436e+000	-3.828987e-012
3.594086632419708e-005	7.520196e+000	-2.710192e-012
3.609734404489659e-005	7.567823e+000	0.000000e+000
3.619500029489659e-005	7.587955e+000	0.000000e+000
3.629265654489659e-005	7.600518e+000	0.000000e+000
3.639031279489660e-005	7.605650e+000	0.000000e+000
3.648796904489660e-005	7.603489e+000	0.000000e+000
3.658562529489660e-005	7.594179e+000	0.000000e+000
3.668328154489660e-005	7.577865e+000	0.000000e+000
3.678093779489661e-005	7.554700e+000	0.000000e+000
3.697625029489661e-005	7.488436e+000	0.000000e+000
3.717156279489662e-005	7.396661e+000	0.000000e+000
3.736687529489662e-005	7.280697e+000	0.000000e+000
3.756218779489663e-005	7.141905e+000	0.000000e+000
3.785515654489664e-005	6.893973e+000	0.000000e+000
3.805046904489664e-005	6.704268e+000	0.000000e+000
3.824578154489665e-005	6.496719e+000	0.000000e+000
3.834343779489665e-005	6.386709e+000	0.000000e+000
3.844109404489665e-005	6.272786e+000	0.000000e+000
3.853875029489666e-005	6.155929e+000	0.000000e+000
3.854857289769211e-005	6.143979e+000	0.000000e+000
3.855090195819834e-005	6.141121e+000	0.000000e+000
3.855091914970097e-005	6.141100e+000	0.000000e+000
3.855093559748491e-005	6.141080e+000	0.000000e+000
3.855093707568561e-005	6.141078e+000	0.000000e+000
3.855093737941636e-005	6.141078e+000	0.000000e+000
3.855093783942538e-005	6.141078e+000	0.000000e+000
3.855093865864800e-005	6.141077e+000	0.000000e+000
3.855093937590340e-005	6.141076e+000	0.000000e+000
3.855094009315880e-005	6.141075e+000	0.000000e+000
3.855094081041420e-005	6.141074e+000	0.000000e+000
3.855094152766960e-005	6.141073e+000	0.000000e+000
3.855094224492500e-005	6.141072e+000	0.000000e+000
3.855094296218039e-005	6.141071e+000	0.000000e+000
